codigo|codigo_intersectado
07200               |03700               
08000               |05300               
06050               |12300               
04200               |11700               
09325               |07800               
18900               |14400               
20700A              |05450B              
03400               |11900               
04400               |09100               
32850               |37900               
11200               |15300               
16570B              |                    
16500               |09050               
14100B              |04050               
41100               |30800               
09900A              |06050               
14300               |11600               
                    |32025               
08600               |02700               
08450               |02100               
19500A              |11200               
03100               |07800               
14500B              |11200               
11100               |05675               
09700               |02800               
16300               |07400               
08025               |00975               
04025               |15100               
08250C              |08700               
06025A              |08475               
04600               |06500B              
07800               |04700               
14900               |10600               
38800G              |35300               
05850A              |15100               
04700               |09400A              
05100               |09200               
09150               |07450A              
15100               |10000               
10000               |17300B              
16300               |07675B              
40500               |34600B              
07200               |11300A              
09100               |05275A              
02000A              |06900A              
13200               |15900               
15500               |13230               
02200               |12500               
05275A              |15100               
07500B              |06000               
13100               |03000               
17900B              |13400A              
02700               |08000               
07600               |05500B              
05800A              |13700               
09850               |14100B              
09100               |01800A              
07200               |14300               
09600               |15900               
05650A              |07900               
07050               |08100               
05000B              |18500B              
10275B              |19100B              
08600               |02550               
02800               |10500               
14900               |02600               
06450               |08900               
11500A              |03400               
07000               |15500               
10900               |03600               
09600               |14300               
07200               |15900               
20700B              |11800               
38100               |33600               
04600               |14100B              
11000               |14700               
07900               |08400               
05050G              |20900A              
04025               |15700               
14750               |11800               
15700               |11800               
04800B              |15500               
07100A              |03400               
13700               |08800               
09900A              |07200               
08890A              |0525                
13300               |10600               
11900               |05275A              
33400               |36100A              
04600               |12300               
04000               |07900               
09500               |09375               
07500A              |04400               
03300               |06400               
13000               |18550               
13100               |01800B              
12900B              |10600               
09000               |09900A              
13300               |02600               
16700               |10800               
34000               |37700               
09200               |14500B              
16300               |02400               
05400A              |17300C              
07200               |12700               
11500B              |06400               
08800               |                    
02800               |08300               
14700               |07600               
04500               |07000               
08700               |09000               
18100B              |10075               
12600               |15700               
06800               |05500B              
06600A              |03300               
15950               |01000               
15500               |01000               
13275               |19750               
20500B              |007400              
12000               |20700B              
18300B              |08275               
12500               |01600               
04550               |07600               
13600A              |16500               
02000B              |12300               
17300B              |13600A              
02600               |13350               
18900               |08895               
10500               |03000               
18100B              |08875B              
08100               |03000               
20100               |11800               
14900               |06800               
16700               |04200               
15500               |                    
06025A              |08475B              
09050               |05700C              
15100               |00400               
05275A              |16300               
37325               |37375               
14700               |06850               
13500A              |07800               
08000               |03100               
07000               |04100               
34725B              |37825               
08800               |16500               
36900               |32625               
03300               |06600A              
13200               |16900D              
06100B              |03800               
16350               |05000B              
37100               |33000               
15300               |06200               
07675B              |13100               
13300               |06800               
09875A              |14100B              
12200               |18950               
09900A              |05050C              
19900               |09050               
03200               |08900               
05600A              |08500               
13200               |20150               
02500               |07400               
05700C              |09000               
03800               |07700A              
40900               |33800               
06600A              |09100               
13400B              |18950               
06300B              |07450A              
05000C              |10700A              
19350               |14050               
09200               |04550A              
08000               |02100               
07200               |06100A              
08900               |02000A              
04400               |05985               
08850               |12500               
08700               |03200               
11000               |19300               
17300A              |09050               
06400               |05900B              
08875B              |18300A              
06000               |16100               
15000               |19100B              
03400               |06700A              
03350               |08050               
10200               |16970               
35850               |39100               
05800A              |07900               
11100               |03600               
11275B              |17500               
34900               |39600               
17750A              |09085               
03600               |12300               
09100               |04400               
16100               |12600               
05450A              |12550               
08275               |20100               
05675               |08100               
13600A              |16700               
05400A              |13300               
02700               |05400A              
01200               |13300               
08200               |11700               
14700               |08800               
37700               |34000               
05900B              |04800A              
12100               |06000               
16700               |08850               
13000               |17100               
12300               |05875B              
                    |18550               
08200               |03500               
01200               |14900               
20150               |13200               
05400A              |14900               
33200               |40300A              
15500               |12000               
11900               |04400               
07500A              |01800A              
10075               |18300A              
09900A              |07050               
19500A              |09050               
14900               |00800               
20300B              |11200               
14300               |01450               
02800               |14500B              
13900               |04600               
14900               |02800               
31600               |40300A              
07100A              |03200               
16300               |06050               
04200               |12500               
11675A              |14900               
0525                |08890A              
08400               |07900               
05600A              |09300               
05675               |13100               
05200A              |16350               
07675C              |08275               
09300               |04200               
05300               |09000               
09000               |03900               
06800               |07100B              
05550               |08000               
18500A              |12050               
06400               |15100               
03600               |11300A              
11675A              |13300               
16900A              |10800               
07600               |16700               
02600               |09750               
04200               |09700               
03600               |14300               
07000               |02700               
08275               |15700               
11675A              |12900B              
11500A              |07650               
10300               |07800               
13850               |09800               
01575               |06825               
08250B              |09150               
05000B              |07100A              
08000               |02300               
13300               |02800               
14030               |19350               
13300               |00800               
13900               |06050               
15700               |00400               
08650B              |13300               
07450A              |07100B              
16900D              |13200               
08000               |12900A              
16100               |05275A              
07900               |04800B              
39900               |32850               
03600               |12700               
09100               |06600A              
05800A              |18100A              
07900               |07000               
04100               |08000               
08870               |04300               
11500A              |03200               
05000B              |11500A              
03500               |05800A              
                    |10700B              
08450               |04300               
08800               |14500B              
16500               |08850               
07400               |13100               
02000B              |11300A              
05400A              |04700               
17300A              |10800               
08275               |15100               
08675A              |00900               
09875A              |14300               
17700               |10600               
06400               |06300A              
02000B              |14300               
14700               |09200               
13100               |04025               
08000               |13500A              
08900               |05000C              
14700               |05450A              
                    |18                  
02300               |07800               
03800               |14900               
09500               |05800A              
16300               |07200               
16900D              |12650               
11800               |14700               
20700A              |05850C              
02450               |13300               
10275               |13100               
12650               |16900D              
07600               |                    
16300               |09600               
18750               |14270               
15500               |13000               
16500               |04200               
02000B              |15900               
03800               |13300               
06700A              |02200               
08925A              |08600               
36300               |36800A              
05700B              |05700C              
12900A              |07800               
05200A              |06900B              
07225               |01175A              
40300B              |37400               
08275               |19500B              
03000               |09100               
08825               |                    
11500B              |05275C              
12350               |05600A              
08200               |15300               
09700               |02600               
02200               |11700               
20900B              |08200               
07600               |16500               
09450               |15500               
09050               |02900               
13900               |07200               
34700               |40000               
08300               |04200               
06000               |11900               
06450               |09900A              
01400               |12950A              
17350               |10200               
17100               |07400               
13900               |09600               
16100               |12800               
06900B              |05000B              
08600               |15500               
02100               |08450               
02000B              |12700               
06800               |10500               
06600A              |07900               
06900A              |02000A              
13300               |11200               
                    |08825               
13600C              |20150               
09600               |13500A              
14950               |07200               
39800               |34700               
07100B              |05800A              
15700               |12000               
09200               |03500               
12000               |18500A              
01800A              |09175               
05050E              |07900               
08450               |14100B              
08300               |02800               
12900B              |11200               
13900               |08000               
05800A              |09100               
08850               |16500               
07800               |08100               
07200               |13500A              
08600               |15100               
11800               |20900B              
18550               |13800A              
18900               |10475               
10300               |05675               
14900               |11200               
08275               |15500               
32025               |32375               
03700               |09000               
13500A              |05600A              
06200               |15100               
03200               |12100               
08895               |17500               
09500               |03000               
05700B              |05400A              
14100B              |03400               
09650A              |05100               
20700B              |12000               
19300               |14030               
03800               |09300               
05500A              |04600               
16925               |12475               
07900               |01800A              
02800               |12500               
01000               |15950               
13300               |04200               
15300               |05850A              
11250B              |20300B              
05800B              |20300A              
09250A              |05300               
11275B              |19150               
05400A              |08500               
07900               |05275A              
36900               |33000               
16100               |04800B              
37100               |32625               
02700               |07400               
003800              |16700               
11900               |08400               
18300A              |05675               
12800               |19100B              
06800               |11700               
04500               |06400               
13600A              |17700               
19500A              |10600               
01250               |16300               
06800               |03500               
11700               |01800B              
16100               |07000               
06100A              |08450               
11200               |20300B              
02800               |09700               
02600               |10100               
10000               |16100               
13400A              |17100               
10275B              |20100               
14600               |19150               
05800A              |03300               
02200               |10500               
15900               |13630               
14000A              |18550               
03400               |13500B              
04100               |07200               
12300               |03400               
06300B              |06300A              
14750               |                    
07650               |12100               
16700               |06800               
13500B              |05000B              
12900A              |05675               
14900               |04200               
05600A              |13300               
15700               |                    
05000C              |08900               
03600               |08700               
17700               |18175               
04900B              |08400               
06250               |16300               
11000               |18300B              
11700               |03000               
05550               |09600               
05600A              |14900               
09400B              |13850               
03600               |05125               
07450A              |09525               
18                  |                    
07200               |02300               
14700               |08200               
14070               |19100B              
08850               |16700               
15700               |01000               
08800               |12500               
13200               |18300A              
15300               |04025               
06200               |06300A              
09600               |18300A              
08275B              |06025B              
07200               |12900A              
11000               |16100               
13100               |06200               
08300               |06800               
17500               |10200               
11300A              |07650               
05525               |09450               
05400B              |20300A              
18550               |06000               
06850               |12500               
33400               |36700               
07500A              |04800B              
08900               |06450               
32800               |36500               
12700               |09000               
19350               |14270               
10700B              |                    
19500B              |                    
01400               |13700               
12200               |15900               
05700A              |03800               
14300               |07650               
08000               |06100A              
01900B              |08400               
04600               |12900A              
03400               |14700               
09525               |07675C              
07600               |12500               
03000               |07900               
                    |16570B              
10300               |05600A              
34700               |39400               
18900               |11275B              
11300A              |03200               
13800A              |17300B              
15700               |13000               
08400               |08275C              
18900               |14600               
16500               |06800               
10900               |04850C              
04200               |16700               
14300               |03200               
17900B              |13800A              
07200               |10925               
06050               |13500A              
08275C              |08400               
03250B              |16700               
05900C              |03800               
00250               |15300               
07400               |09500               
01375               |06625               
15100               |12000               
17500               |08475               
04200               |08300               
09075A              |00900               
08400               |04900B              
11600               |16100               
06300B              |08200               
04800B              |13900               
05900B              |06000               
05600A              |04700               
18550               |12050               
07200               |03100               
02600               |11500A              
06800               |15300               
15100               |01000               
11200               |14500B              
11200               |19500A              
14600               |18770               
20700A              |05050G              
16900A              |10600               
18930               |05400A              
02600               |07100A              
06050               |12900A              
04200               |16500               
07050               |14900               
15500               |00400               
20150               |13600C              
01375               |06425               
01475               |09750               
                    |18500A              
09100               |04000               
04900B              |09800               
08200               |10500               
11250B              |19500A              
12700               |03200               
17100               |05400A              
08600               |05900B              
18900               |05800A              
37700               |37400               
05275A              |19100B              
14800               |18900               
12900A              |05600A              
05550               |09250A              
03200               |06900A              
07900               |06400               
08450               |14300               
07000               |16300               
11900               |05650A              
19500C              |13600B              
01300               |08875A              
10500               |05800A              
06200               |05900B              
09800               |16350               
11300A              |09000               
08100               |05800A              
17500               |05200A              
38450               |34500               
09000               |10700A              
35900A              |35400A              
07800               |13100               
09900A              |03800               
05675               |09500               
20700A              |05650B              
07000               |13900               
20900B              |08800               
39000A              |35900B              
13675               |20100               
06000               |04500               
01400               |14500A              
03100               |08630               
14300               |09000               
03800               |08500               
16100               |08400               
15500               |10000               
11900               |04800B              
33400               |37300               
18550               |                    
00400               |01475               
04800B              |15100               
19300               |12600               
18300A              |13200               
10700A              |02000A              
14800               |                    
05200A              |17500               
10700B              |06000               
15300               |00600               
09750               |03200               
18100A              |06400               
14900               |11400               
07800               |16900A              
08000               |15900               
14500B              |02800               
19500B              |09400B              
08000               |11300A              
04200               |10500               
15500               |11000               
35900A              |34000               
02000B              |13500A              
11900               |07000               
05450B              |20300A              
12500               |08850               
08025               |00785               
40500               |33200               
40500               |36600B              
08000               |14300               
37100               |34600A              
15950               |11000               
14100B              |09000               
09400A              |03500               
07150A              |02000A              
09100               |04800B              
05850A              |15500               
11                  |20                  
07900               |06600A              
05000B              |10900               
02700               |07200               
07400               |13300               
03900               |06000               
03600               |12900A              
07900               |05050E              
05275A              |15500               
00775B              |07825               
08200               |                    
07200               |08700               
03900               |09400B              
09500               |04025               
10275               |12900B              
07800               |08500               
05250B              |20700A              
07000               |15100               
13100               |05800A              
05800A              |06900B              
09300               |02600               
03800               |13100               
13000               |16570B              
06400               |02700               
13950               |07000               
05570               |04400               
12300               |03200               
10275               |13300               
17500               |05050H              
13000               |18500A              
05000C              |09900A              
15100               |06000               
05000B              |18150A              
19300               |08275               
08650B              |13100               
19100B              |07400               
08875A              |00925               
04500               |05200A              
18900               |06200               
08100               |06200               
09700               |04200               
04025               |15500               
10500               |06200               
20500C              |13250B              
04800B              |15700               
15100               |09400B              
01900B              |08600               
15300               |01800B              
09600               |05300               
08450               |06100A              
13350               |03400               
05400A              |08100               
08050               |07450B              
15700               |13270A              
07075               |08100               
06900A              |04800A              
06800               |12500               
13200               |18950               
07500A              |04000               
13500A              |02000B              
05000B              |18300               
02000A              |08900               
04800A              |06700A              
18700               |11050               
07000               |15700               
11700               |04025               
11800               |16100               
14900               |01475               
11675A              |13100               
36200               |37100               
06000               |05100               
07200               |05300               
08000               |03700               
18900               |14200               
40200               |35100               
12600               |19100B              
07700A              |04200               
08500               |06800               
16500               |10600               
08275C              |08600               
02000B              |12900A              
07200               |18950               
15300               |03000               
06800               |09700               
14100B              |07650               
05675               |14900               
01800B              |13700               
05100               |08200               
12500               |04200               
07200               |07300B              
12800               |15500               
07600               |11700               
12900A              |03600               
14900               |10800               
06400               |04100               
19300               |14070               
34100               |32200A              
11250B              |18900               
04800B              |07300A              
07400               |04700               
01200               |13100               
02200               |08300               
08200               |14500B              
10700A              |05000C              
05400A              |13100               
41100               |33000               
07200               |04300               
04500               |06600A              
15500               |11800               
20100               |                    
08900               |06000               
08475               |17500               
01800A              |07150A              
19300               |12800               
16300               |01200               
16300               |05400A              
05000E              |03900               
14700               |05000B              
09800               |04900B              
13300               |10800               
                    |38200B              
07600               |20500B              
14100A              |01200               
04900B              |09450               
38900               |34600B              
11600               |20900B              
04900B              |08600               
35550               |39050               
15300               |01400               
12900A              |02000B              
04000               |09100               
02400               |14900               
16100               |09800               
16700               |10600               
12900B              |10800               
06850               |11700               
08630               |03100               
00600               |14500A              
16100               |04000               
15700               |13230               
38200A              |35125               
10285               |18300A              
08025               |00375               
07100B              |06200               
03300               |07000               
09000               |05550               
13900               |01200               
12700               |03400               
13900               |05400A              
14900               |12400               
16300               |02450               
13900               |11675A              
34000               |35900A              
04600               |05125               
11300A              |03400               
10300               |03600               
34725A              |38450               
18550               |13000               
20150               |13800B              
04600               |08700               
37400               |37700               
14300               |03400               
39900               |37400               
07900               |04400               
00600               |13700               
00531               |00523               
07675B              |13300               
07225               |00975               
03800               |08100               
05050C              |09500               
02600               |10300               
19350               |13600B              
17500               |08275               
08600               |13900               
14400               |19100B              
04400               |07900               
08500               |02800               
07600               |16770               
00800               |15300               
13900               |03800               
02800               |15300               
05000B              |11100               
03300               |04870               
08000               |14100B              
06300A              |06000               
07025A              |10300               
06200               |13900               
08275               |19100B              
15700               |09400B              
06000               |14700               
10200               |17500               
34600A              |35900A              
06000               |04900A              
15700               |06000               
07000               |05900B              
05600A              |09500               
05525               |09800               
16970               |07600               
20100               |12000               
06200               |16300               
06025A              |08275A              
35400A              |35900A              
12000               |14700               
13300               |04025               
08800               |05700C              
05600A              |04300               
06600A              |04100               
14000B              |20500C              
07675C              |07450A              
03800               |14100B              
05600A              |07300B              
12100               |06050               
37675               |37625               
13800B              |20150               
05900B              |08000               
07675C              |08330               
12500               |01800B              
09700               |03000               
04400               |15500               
14150               |03200               
07400               |03100               
14900               |05850A              
06400               |13700               
14230               |19300               
14900               |04025               
06850               |10100               
03800               |12300               
03400               |06900A              
19100B              |13430               
07000               |03300               
17500               |05000B              
07600               |02900               
09050               |16500               
12100               |04600               
05400A              |03700               
07675B              |13500A              
15300               |04200               
15100               |05400A              
12500               |03000               
03600               |07700A              
15100               |01200               
15100               |11675A              
01200               |15900               
05275C              |15500               
16100               |07600               
16350               |09800               
14700               |06400               
06025A              |07450A              
12100               |07200               
05100               |05200A              
07400               |02100               
08275               |13700               
01900A              |07025               
08400               |16300               
04900A              |06400               
03900               |05400A              
37400               |37900               
01200               |14300               
06200               |06900B              
05400A              |14300               
11675A              |14100B              
04800B              |09100               
04550A              |09400A              
18750               |12800               
07675B              |12900A              
06800               |10300               
13250B              |20500C              
08400               |13900               
09400A              |05700C              
05000B              |14500B              
09100               |09175               
20500A              |05850C              
05400A              |12700               
07400               |10925               
01200               |12700               
04500               |08200               
14300               |08650B              
06800               |08750               
03700               |07800               
03200               |14700               
15100               |03800               
08650B              |14100B              
07000               |13950               
08275C              |04100               
13100               |00800               
07200               |09500               
11100               |03400               
13100               |02800               
18950               |05675               
08050               |07600               
18100B              |09275               
10700B              |05400A              
38500               |35400B              
34400               |40900               
09000               |05100               
08700               |05600A              
05200A              |15500               
04000               |07300A              
02800               |07100A              
15300               |11200               
08200               |01700A              
05800A              |13900               
02000A              |07500A              
07150A              |04600               
19100B              |11000               
05100               |06600A              
01900A              |06400               
32025               |                    
15700               |01200               
13500B              |04400               
                    |06300B              
10900               |03200               
10700A              |04600               
06300A              |05400A              
01200               |12300               
08075               |06025B              
16550B              |12400               
07900               |02200               
38200A              |34725B              
08650B              |14300               
05050H              |17500               
03200               |13500B              
04870               |03300               
07400               |02300               
                    |14200               
09050               |19500A              
05600A              |08700               
15500               |07675B              
03400               |10700A              
09800               |15700               
05400A              |14100B              
                    |18750               
06000               |05500A              
03600               |13300               
07400               |12900A              
04000               |15700               
09600               |04750               
05000B              |16700               
06600A              |02700               
25250P              |25100P              
12400               |16530B              
00375               |08025               
03600               |14900               
12200               |19900               
02200               |11100               
04400               |07150A              
05400A              |06700B              
06400               |01900A              
14100B              |08450               
08500               |05800A              
14300               |07800               
11675A              |15900               
05525               |09200               
01600               |15300               
01800A              |07900               
36500               |36200               
08000               |13100               
06050               |09500               
10100               |03600               
13900               |06000               
05400A              |06500B              
37625               |35700B              
07400               |13500A              
04400               |06300C              
05500A              |04800A              
09050               |17300A              
04025               |04000               
05400A              |06025               
06900A              |02400               
10600               |17700               
13275               |19500C              
05500B              |06800               
07075               |09125               
12700               |07800               
05275A              |07900               
15700               |02450               
10275               |13500A              
09900A              |06450               
03800               |12700               
15700               |03800               
                    |14700               
04800A              |05700B              
17300A              |11275B              
07700A              |07675C              
15500               |07400               
07450B              |16300               
32375               |32225               
13900               |09400B              
11800               |20700B              
13000               |19300               
01475               |                    
07600               |05700C              
05675               |12900A              
03800               |14300               
11000               |17100               
16300               |06000               
02000B              |14900               
10500               |02600               
05600A              |05300               
14700               |05275A              
03800               |11300A              
01000               |14700               
12500               |01400               
08800               |02900               
05300               |05600A              
03400               |12100               
14200               |19350               
32200A              |33300               
