codigo|codigo_intersectado
10000               |13900               
08300               |07000               
12200               |20300B              
34900               |40000               
06800               |02300               
13100               |08800               
06100A              |06000               
15900               |02450               
02600               |13300               
15500               |05600A              
13270A              |15500               
07000               |11900               
06800               |12900A              
15500               |13070               
12200               |16500               
13700               |01800B              
15100               |07800               
04800B              |07500A              
00775A              |07425               
06400               |06300B              
40300B              |37600B              
18550               |12200               
14070               |19300               
07400               |10300               
35700A              |34000               
18750               |14400               
13700               |01400               
19750A              |10275B              
11500A              |02650A              
16700               |07000               
13300               |06400               
11950               |03600               
36700               |33400               
13000               |17500               
07700A              |04400               
14925               |                    
06800               |02100               
08500               |07450B              
11800               |15100               
                    |08600               
04000               |08900               
20100               |13600C              
05700C              |07400               
12550               |05450A              
12500               |04400               
13400A              |08475               
34900               |39200G              
16100               |06800               
07675C              |07500B              
03400               |07150A              
11200               |14300               
04600               |11700               
06000               |04100               
07500B              |05675               
08400               |02500               
04400               |10700A              
06800               |10925               
17700               |05200A              
18900               |13600B              
14900               |06400               
03800               |13350               
11950               |02000B              
06300C              |03600               
09700               |04400               
07600               |05300               
13300               |08275               
16530A              |10200               
12800               |19300               
05675               |10300               
11800               |15700               
11800               |14750               
11100               |06000               
04700               |05200A              
17500               |10800               
08925B              |03550               
39100               |36600B              
17700               |10200               
09100               |01600               
06800               |03100               
07200               |15300               
13100               |09200               
14700               |04025               
09085               |17500               
04550A              |09200               
08500               |08400               
07300B              |07200               
04200               |14100B              
20700B              |08650B              
13100               |05450A              
08850               |12700               
06400               |14700               
09400A              |04300               
05000D              |20900A              
07000               |16100               
15300               |08200               
05570               |04200               
03700               |05400A              
34700               |39600               
06400               |04900A              
04200               |12300               
04400               |12100               
08475               |15950               
07450A              |09325               
05900B              |08450               
16150               |01400               
13350               |03800               
13000               |18100A              
07050               |10100               
10075               |18900               
12100               |03600               
00985               |08025               
14700               |05850A              
08850               |14300               
07500A              |02800               
03900               |07800               
14500A              |00600               
04800B              |16100               
01400               |15950               
07350A              |05800A              
14400               |18750               
18500A              |13200               
07650               |13700               
17350               |10600               
04300               |07200               
11600               |16300               
07400               |03950               
02650A              |11500A              
17700               |08475               
09275               |16300               
10500               |07025A              
09050               |19900               
05900B              |07800               
02400               |11500A              
05400A              |18300               
09125               |07075               
17300A              |11450B              
07600               |03100               
14700               |01400               
12500               |05275A              
00975               |07225               
07700A              |01800A              
12100               |05675               
07100A              |04600               
08800               |13500A              
14500B              |14500A              
16500               |08400               
09275               |19500B              
                    |20500C              
11600               |19500B              
                    |17500               
13900               |03200               
08200               |20950               
                    |07450B              
07450A              |08700               
04800A              |05900B              
