CODIGO|ALTURADESDE|ALTURAHASTA
11650A| 8000| 8099
11650B| 8300| 8399
11650B| 9730| 9899
11675A| 6500| 10499
11700 | 0680| 3399
11700 | 3500| 4199
11750 | 0700| 0999
11750 | 3400| 3499
11750 | 4100| 4499
11800 | 7200| 10699
11850A| 8300| 8399
11850B| 9700| 10099
11850B| 10300| 10650
11875 | 6600| 7199
11900 | 0600| 4699
11950 | 0700| 0999
11950 | 1700| 1799
11950 | 2600| 2799
12000 | 7200| 10699
12050 | 9200| 9499
12050 | 9900| 9999
12075 | 6600| 7100
12095 | 7000| 7099
12100 | 1000| 5000
12150 | 0700| 0999
12150 | 1700| 1799
12150 | 2610| 2790
12150 | 3300| 3399
12200 | 6400| 6599
12200 | 7400| 10559
12250 | 7900| 7999
12300 | 0480| 4450
12350 | 2600| 2699
12350 | 2950| 3199
12400 | 6100| 9799
12475 | 8300| 8699
12500 | 0400| 4499
12550 | 1300| 1799
12550 | 2600| 2860
12550 | 3000| 3099
12600 | 6400| 6599
12600 | 7699| 9799
12630 | 8600| 8799
12650 | 6600| 6699
12650 | 8300| 9099
12675 | 9000| 9599
12700 | 0330| 4599
12800 | 7600| 9799
12900A| 0290| 4599
12900A| 5700| 6199
12900B| 4600| 5699
12950 | 5500| 5599
12950A| 0500| 0899
13000 | 7600| 9799
13050A| 7700| 8050
13050A| 8100| 8170
13050B| 9300| 9699
13060 | 8100| 8199
13070 | 7800| 8270
13100 | 0200| 6699
13150A| 1100| 1599
13150B| 4300| 4599
13200 | 8000| 9799
13230 | 7800| 8299
13250A| 8000| 8399
13250A| 9700| 9799
13250B| 10100| 10499
13270A| 7800| 8299
13270B| 10100| 10199
13270B| 10400| 10499
13275 | 9800| 10099
13300 | 0150| 6699
13350 | 1200| 1299
06650 | 7500| 7599
13350 | 1800| 1899
13350 | 4700| 4799
13400A| 8000| 8899
13400B| 9000| 9799
13400C| 10100| 10499
13430 | 8000| 8399
13430 | 9600| 9799
13450A| 8100| 8299
13450B| 10100| 10199
13450B| 10400| 10499
13470 | 8100| 8299
13470 | 9600| 9799
13475 | 9800| 10099
13500A| 0100| 1099
13500A| 2500| 6599
13500B| 1000| 2499
13550 | 1500| 1599
13550 | 4700| 4899
13550A| 1500| 1599
13600A| 8100| 9399
13600B| 9400| 9799
13600C| 10100| 10499
13630 | 8100| 8399
13630 | 8600| 8699
13630 | 9700| 9799
13650 | 8100| 8399
13650 | 8600| 8699
13670 | 8100| 8399
13670 | 8600| 8699
13670 | 9700| 9799
13675 | 9800| 10099
13700 | 0100| 0999
13700 | 2500| 5599
13750 | 4800| 4899
13800A| 8100| 9799
13800B| 10100| 10499
13830 | 8100| 8299
13850 | 8000| 8299
13870 | 8100| 8299
13875 | 9800| 10099
13900 | 0100| 6599
13925 | 0001| 10499
13950 | 3200| 3599
14000A| 8100| 9799
14000B| 10100| 10499
14030 | 8100| 8399
14030 | 9600| 9799
14050 | 8099| 8299
14050 | 9600| 9799
14070 | 8100| 8299
14070 | 9600| 9799
14075 | 10200| 10499
14100A| 0001| 0999
14100B| 1500| 5499
14130 | 1500| 1599
14150 | 1000| 1899
14150 | 5000| 5099
14150 | 6100| 6199
14200 | 8100| 9799
14230 | 8100| 8299
14230 | 9600| 9799
14250 | 8100| 8299
14250 | 8600| 9799
14270 | 8100| 8299
14270 | 9099| 9799
14300 | 0100| 6399
